,Year,"PRICE RECEIVED, MEASURED IN $ / BU",ACRES HARVESTED,"PRODUCTION, MEASURED IN BU","YIELD, MEASURED IN BU / ACRE","PRODUCTION, MEASURED IN $", Cooling Degree Days, Heating Degree Days, Precipitation, Palmer Drought Severity Index (PDSI), Palmer Hydrological Drought Index (PHDI), Palmer Modified Drought Index (PMDI), Average Temperature, Maximum Temperature, Minimum Temperature, Palmer Z-Index,USPop
0,1950,1.52,"72,398,000","2,764,071,000",38.2,"4,222,366,000",263,14,30.87,1.93,1.93,1.93,51.39,63.61,39.17,4.14,152270000
1,1951,1.66,"71,191,000","2,628,937,000",36.9,"4,364,659,000",314,9,31.25,1.65,1.65,1.65,51.12,63.19,39.04,0.8,154880000
2,1952,1.52,"71,353,000","2,980,793,000",41.8,"4,557,031,000",355,6,26.34,-1.84,-1.84,-1.84,52.27,64.7,39.85,-2.32,157550000
3,1953,1.48,"70,738,000","2,881,801,000",40.7,"4,291,366,000",330,7,28.31,-1.76,-1.76,-0.88,53.37,65.76,40.96,-0.43,160180000
4,1954,1.43,"68,668,000","2,707,913,000",39.4,"3,872,433,000",349,10,26.15,-4.33,-4.33,-4.33,53.33,65.78,40.87,-2.76,163030000
5,1955,1.35,"68,462,000","2,872,959,000",42,"3,848,649,000",362,10,27.74,-3.95,-3.95,-3.78,51.69,63.96,39.41,0.3,165930000
6,1956,1.29,"64,877,000","3,075,336,000",47.4,"3,967,290,000",292,13,25.38,-3.36,-3.36,-3.36,52.34,64.92,39.76,-1.1,168900000
7,1957,1.11,"63,065,000","3,045,355,000",48.3,"3,393,496,000",328,9,33.87,2.61,-1.2,2.01,52.04,63.47,40.63,-0.07,171980000
8,1958,1.12,"63,549,000","3,356,205,000",52.8,"3,755,553,000",308,10,30.23,4.13,4.13,4.13,51.93,63.73,40.13,3.34,174880000
9,1959,1.05,"72,091,000","3,824,598,000",53.1,"4,013,126,000",319,7,30.6,0.16,-1.41,-1.1,52.1,64.15,40.06,0.47,177830000
10,1960,1,"71,422,000","3,906,949,000",54.7,"3,928,779,000",298,10,28.75,-0.52,1.06,0.05,51.44,63.43,39.45,-0.2,180670000
11,1961,1.1,"57,634,000","3,597,803,000",62.4,"3,938,994,000",300,7,31.25,1.2,1.2,1.2,51.87,63.82,39.91,1.43,183690000
12,1962,1.12,"55,726,000","3,606,311,000",64.7,"4,025,296,000",275,17,28.6,-0.06,1.33,0.78,51.9,63.96,39.84,0.99,186540000
13,1963,1.11,"59,227,000","4,019,238,000",67.9,"4,454,048,000",302,11,25.7,-2.48,-2.48,-2.48,52.26,64.65,39.85,-0.56,189240000
14,1964,1.17,"55,369,000","3,484,253,000",62.9,"4,064,208,000",322,7,30.26,-1.08,-2.85,-2.49,51.67,63.91,39.43,-1.23,191890000
15,1965,1.16,"55,392,000","4,102,867,000",74.1,"4,754,199,000",278,13,29.8,1.19,1.19,1.19,51.69,63.47,39.89,0.81,194300000
16,1966,1.24,"57,002,000","4,167,608,000",73.1,"5,170,973,000",344,8,27.46,-2.64,-2.64,-2.64,51.49,63.64,39.34,-2.36,196560000
17,1967,1.03,"60,694,000","4,860,372,000",80.1,"5,044,235,000",277,10,29.6,1.94,1.94,1.94,51.76,63.83,39.69,2.18,198710000
18,1968,1.08,"55,980,000","4,449,542,000",79.5,"4,825,623,000",300,8,30.39,1.8,1.8,1.8,51.32,63.21,39.43,1.14,200710000
19,1969,1.16,"54,574,000","4,687,057,000",85.9,"5,415,997,000",330,10,30.63,2.65,2.65,2.65,51.5,63.19,39.81,1.41,202680000
20,1970,1.33,"57,358,000","4,152,243,000",72.4,"5,514,702,000",317,6,29.7,-0.88,0.63,-0.78,51.61,63.55,39.67,-1.41,205050000
21,1971,1.08,"64,123,000","5,646,260,000",88.1,"6,101,055,000",285,12,30.33,0.37,0.37,0.37,51.66,63.53,39.78,1.1,207660000
22,1972,1.57,"57,513,000","5,579,832,000",97,"8,743,036,000",295,10,31.7,1.41,1.41,0.9,51.37,63.08,39.64,1.39,209900000
23,1973,2.55,"62,143,000","5,670,712,000",91.3,"14,462,744,000",313,8,34.96,4.94,4.94,4.94,52.29,63.82,40.75,1.33,211910000
24,1974,3.02,"65,405,000","4,701,402,000",71.9,"14,231,557,000",311,8,30.62,2.23,2.23,0.86,52.26,64.32,40.21,-1.71,213850000
25,1975,2.54,"67,625,000","5,840,757,000",86.4,"14,817,840,000",295,7,33.03,4.2,4.2,4.2,51.5,63.23,39.77,1.89,215970000
26,1976,2.15,"71,506,000","6,289,169,000",88,"13,524,134,000",281,10,26.31,-0.09,1.57,0.91,51.47,64.07,38.87,0.64,218040000
27,1977,2.02,"71,614,000","6,505,041,000",90.8,"13,107,420,000",347,8,30.44,-3.46,-3.46,-3.46,52.55,64.58,40.52,-1.75,220240000
28,1978,2.25,"71,930,000","7,267,927,000",101,"16,280,688,000",311,9,30.14,0.07,1.72,1.28,51.04,62.77,39.32,0.2,222580000
29,1979,2.52,"72,400,000","7,928,139,000",109.5,"19,876,655,000",293,9,32.75,2.53,2.53,2.53,50.88,62.71,39.06,2.13,225060000
30,1980,3.11,"72,961,000","6,639,396,000",91,"20,554,147,000",372,7,28.27,-1.48,-1.48,-1.48,52.39,64.44,40.33,-3.0,227220000
31,1981,2.5,"74,524,000","8,118,650,000",108.9,"20,200,261,000",330,8,29.96,1.62,-2.71,-0.65,53.12,65.07,41.17,1.86,229470000
32,1982,2.55,"72,719,000","8,235,101,000",113.2,"21,641,046,000",313,10,33.86,3.64,3.64,3.64,51.34,62.83,39.84,2.16,231660000
33,1983,3.21,"51,479,000","4,174,251,000",81.1,"13,552,853,000",344,8,34.76,5.13,5.13,4.71,51.88,63.07,40.68,-1.01,233790000
34,1984,2.63,"71,897,000","7,672,130,000",106.7,"20,143,883,000",292,9,31.4,3.71,3.71,3.71,51.97,63.59,40.37,0.9,235820000
35,1985,2.23,"75,209,000","8,875,453,000",118,"19,518,762,000",312,6,29.97,-1.82,-1.82,-1.82,51.3,63.05,39.55,-0.93,237920000
36,1986,1.5,"68,907,000","8,225,764,000",119.4,"12,507,263,000",338,12,31.38,0.91,0.91,-0.73,53.32,64.9,41.74,-0.02,240130000
37,1987,1.94,"59,505,000","7,131,300,000",119.8,"14,107,705,000",329,10,29.01,-1.48,0.65,-1.39,53.33,65.34,41.32,-0.49,242290000
38,1988,2.54,"58,250,000","4,928,681,000",84.6,"12,661,362,000",356,4,25.9,-4.78,-4.78,-4.78,52.63,65.18,40.07,-2.86,244500000
39,1989,2.36,"64,783,000","7,531,953,000",116.3,"17,912,895,000",314,7,29.05,1.62,-1.04,1.08,51.84,63.97,39.69,1.62,246820000
40,1990,2.28,"66,952,000","7,934,028,000",118.5,"18,191,643,000",315,7,32.17,-0.25,0.75,0.08,53.51,65.63,41.39,0.59,249620000
41,1991,2.37,"68,822,000","7,474,765,000",108.6,"17,860,947,000",333,7,32.44,1.48,1.48,1.4,53.16,64.8,41.51,0.31,252980000
42,1992,2.07,"72,077,000","9,476,698,000",131.5,"19,723,258,000",288,17,31.26,1.63,1.63,1.63,52.6,64.13,41.07,3.39,256510000
43,1993,2.5,"62,933,000","6,337,730,000",100.7,"16,035,515,000",342,15,32.62,4.8,4.8,4.8,51.26,62.68,39.83,3.06,259920000
