Contiguous U.S., Palmer Modified Drought Index (PMDI), July
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195007,1.93,1.54
195107,1.65,1.26
195207,-1.84,-2.23
195307,-0.88,-1.27
195407,-4.33,-4.72
195507,-3.78,-4.17
195607,-3.36,-3.75
195707,2.01,1.62
195807,4.13,3.74
195907,-1.10,-1.49
196007,0.05,-0.34
196107,1.20,0.81
196207,0.78,0.39
196307,-2.48,-2.87
196407,-2.49,-2.88
196507,1.19,0.80
196607,-2.64,-3.03
196707,1.94,1.55
196807,1.80,1.41
196907,2.65,2.26
197007,-0.78,-1.17
197107,0.37,-0.02
197207,0.90,0.51
197307,4.94,4.55
197407,0.86,0.47
197507,4.20,3.81
197607,0.91,0.52
197707,-3.46,-3.85
197807,1.28,0.89
197907,2.53,2.14
198007,-1.48,-1.87
198107,-0.65,-1.04
198207,3.64,3.25
198307,4.71,4.32
198407,3.71,3.32
198507,-1.82,-2.21
198607,-0.73,-1.12
198707,-1.39,-1.78
198807,-4.78,-5.17
198907,1.08,0.69
199007,0.08,-0.31
199107,1.40,1.01
199207,1.63,1.24
199307,4.80,4.41
199407,0.30,-0.09
199507,3.53,3.14
199607,2.15,1.76
199707,4.27,3.88
199807,3.01,2.62
199907,1.17,0.78
200007,-3.94,-4.33
200107,-2.45,-2.84
200207,-3.56,-3.95
200307,1.60,1.21
200407,1.50,1.11
200507,1.82,1.43
200607,-3.65,-4.04
200707,-0.91,-1.30
200807,0.72,0.33
200907,1.18,0.79
201007,3.48,3.09
201107,-0.18,-0.57
201207,-4.79,-5.18
201307,0.62,0.23
201407,1.27,0.88
201507,2.23,1.84
201607,-0.28,-0.67
201707,0.85,0.46
201807,-1.80,-2.19
201907,5.22,4.83
202007,1.85,1.46
202107,-1.84,-2.23
