Contiguous U.S., Palmer Z-Index, July
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195007,4.14,3.88
195107,0.80,0.54
195207,-2.32,-2.58
195307,-0.43,-0.69
195407,-2.76,-3.02
195507,0.30,0.04
195607,-1.10,-1.36
195707,-0.07,-0.33
195807,3.34,3.08
195907,0.47,0.21
196007,-0.20,-0.46
196107,1.43,1.17
196207,0.99,0.73
196307,-0.56,-0.82
196407,-1.23,-1.49
196507,0.81,0.55
196607,-2.36,-2.62
196707,2.18,1.92
196807,1.14,0.88
196907,1.41,1.15
197007,-1.41,-1.67
197107,1.10,0.84
197207,1.39,1.13
197307,1.33,1.07
197407,-1.71,-1.97
197507,1.89,1.63
197607,0.64,0.38
197707,-1.75,-2.01
197807,0.20,-0.06
197907,2.13,1.87
198007,-3.00,-3.26
198107,1.86,1.60
198207,2.16,1.90
198307,-1.01,-1.27
198407,0.90,0.64
198507,-0.93,-1.19
198607,-0.02,-0.28
198707,-0.49,-0.75
198807,-2.86,-3.12
198907,1.62,1.36
199007,0.59,0.33
199107,0.31,0.05
199207,3.39,3.13
199307,3.06,2.80
199407,0.23,-0.03
199507,0.93,0.67
199607,1.35,1.09
199707,0.82,0.56
199807,-0.06,-0.32
199907,0.12,-0.14
200007,-1.33,-1.59
200107,-0.52,-0.78
200207,-1.70,-1.96
200307,0.45,0.19
200407,2.16,1.90
200507,-0.22,-0.48
200607,-3.03,-3.29
200707,-0.41,-0.67
200807,0.44,0.18
200907,1.71,1.45
201007,2.30,2.04
201107,-1.43,-1.69
201207,-3.30,-3.56
201307,2.28,2.02
201407,0.25,-0.01
201507,2.12,1.86
201607,-0.58,-0.84
201707,0.15,-0.11
201807,-0.99,-1.25
201907,0.93,0.67
202007,-0.15,-0.41
202107,0.83,0.57
