Year, Cooling Degree Days, Heating Degree Days, Precipitation, Palmer Drought Severity Index (PDSI), Palmer Hydrological Drought Index (PHDI), Palmer Modified Drought Index (PMDI), Average Temperature, Maximum Temperature, Minimum Temperature, Palmer Z-Index
1950,263,14,30.87,1.93,1.93,1.93,51.39,63.61,39.17,4.14
1951,314,9,31.25,1.65,1.65,1.65,51.12,63.19,39.04,0.80
1952,355,6,26.34,-1.84,-1.84,-1.84,52.27,64.70,39.85,-2.32
1953,330,7,28.31,-1.76,-1.76,-0.88,53.37,65.76,40.96,-0.43
1954,349,10,26.15,-4.33,-4.33,-4.33,53.33,65.78,40.87,-2.76
1955,362,10,27.74,-3.95,-3.95,-3.78,51.69,63.96,39.41,0.30
1956,292,13,25.38,-3.36,-3.36,-3.36,52.34,64.92,39.76,-1.10
1957,328,9,33.87,2.61,-1.20,2.01,52.04,63.47,40.63,-0.07
1958,308,10,30.23,4.13,4.13,4.13,51.93,63.73,40.13,3.34
1959,319,7,30.60,0.16,-1.41,-1.10,52.10,64.15,40.06,0.47
1960,298,10,28.75,-0.52,1.06,0.05,51.44,63.43,39.45,-0.20
1961,300,7,31.25,1.20,1.20,1.20,51.87,63.82,39.91,1.43
1962,275,17,28.60,-0.06,1.33,0.78,51.90,63.96,39.84,0.99
1963,302,11,25.70,-2.48,-2.48,-2.48,52.26,64.65,39.85,-0.56
1964,322,7,30.26,-1.08,-2.85,-2.49,51.67,63.91,39.43,-1.23
1965,278,13,29.80,1.19,1.19,1.19,51.69,63.47,39.89,0.81
1966,344,8,27.46,-2.64,-2.64,-2.64,51.49,63.64,39.34,-2.36
1967,277,10,29.60,1.94,1.94,1.94,51.76,63.83,39.69,2.18
1968,300,8,30.39,1.80,1.80,1.80,51.32,63.21,39.43,1.14
1969,330,10,30.63,2.65,2.65,2.65,51.50,63.19,39.81,1.41
1970,317,6,29.70,-0.88,0.63,-0.78,51.61,63.55,39.67,-1.41
1971,285,12,30.33,0.37,0.37,0.37,51.66,63.53,39.78,1.10
1972,295,10,31.70,1.41,1.41,0.90,51.37,63.08,39.64,1.39
1973,313,8,34.96,4.94,4.94,4.94,52.29,63.82,40.75,1.33
1974,311,8,30.62,2.23,2.23,0.86,52.26,64.32,40.21,-1.71
1975,295,7,33.03,4.20,4.20,4.20,51.50,63.23,39.77,1.89
1976,281,10,26.31,-0.09,1.57,0.91,51.47,64.07,38.87,0.64
1977,347,8,30.44,-3.46,-3.46,-3.46,52.55,64.58,40.52,-1.75
1978,311,9,30.14,0.07,1.72,1.28,51.04,62.77,39.32,0.20
1979,293,9,32.75,2.53,2.53,2.53,50.88,62.71,39.06,2.13
1980,372,7,28.27,-1.48,-1.48,-1.48,52.39,64.44,40.33,-3.00
1981,330,8,29.96,1.62,-2.71,-0.65,53.12,65.07,41.17,1.86
1982,313,10,33.86,3.64,3.64,3.64,51.34,62.83,39.84,2.16
1983,344,8,34.76,5.13,5.13,4.71,51.88,63.07,40.68,-1.01
1984,292,9,31.40,3.71,3.71,3.71,51.97,63.59,40.37,0.90
