,Year,Period,Data Item,Value
0,1950,YEAR,ACRES HARVESTED,"72,398,000"
1,1951,YEAR,ACRES HARVESTED,"71,191,000"
2,1952,YEAR,ACRES HARVESTED,"71,353,000"
3,1953,YEAR,ACRES HARVESTED,"70,738,000"
4,1954,YEAR,ACRES HARVESTED,"68,668,000"
5,1955,YEAR,ACRES HARVESTED,"68,462,000"
6,1956,YEAR,ACRES HARVESTED,"64,877,000"
7,1957,YEAR,ACRES HARVESTED,"63,065,000"
8,1958,YEAR,ACRES HARVESTED,"63,549,000"
9,1959,YEAR,ACRES HARVESTED,"72,091,000"
10,1960,YEAR,ACRES HARVESTED,"71,422,000"
11,1961,YEAR,ACRES HARVESTED,"57,634,000"
12,1962,YEAR,ACRES HARVESTED,"55,726,000"
13,1963,YEAR,ACRES HARVESTED,"59,227,000"
14,1964,YEAR,ACRES HARVESTED,"55,369,000"
15,1965,YEAR,ACRES HARVESTED,"55,392,000"
16,1966,YEAR,ACRES HARVESTED,"57,002,000"
17,1967,YEAR,ACRES HARVESTED,"60,694,000"
18,1968,YEAR,ACRES HARVESTED,"55,980,000"
19,1969,YEAR,ACRES HARVESTED,"54,574,000"
20,1970,YEAR,ACRES HARVESTED,"57,358,000"
21,1971,YEAR,ACRES HARVESTED,"64,123,000"
22,1972,YEAR,ACRES HARVESTED,"57,513,000"
23,1973,YEAR,ACRES HARVESTED,"62,143,000"
24,1974,YEAR,ACRES HARVESTED,"65,405,000"
25,1975,YEAR,ACRES HARVESTED,"67,625,000"
26,1976,YEAR,ACRES HARVESTED,"71,506,000"
27,1977,YEAR,ACRES HARVESTED,"71,614,000"
28,1978,YEAR,ACRES HARVESTED,"71,930,000"
29,1979,YEAR,ACRES HARVESTED,"72,400,000"
30,1980,YEAR,ACRES HARVESTED,"72,961,000"
31,1981,YEAR,ACRES HARVESTED,"74,524,000"
32,1982,YEAR,ACRES HARVESTED,"72,719,000"
33,1983,YEAR,ACRES HARVESTED,"51,479,000"
34,1984,YEAR,ACRES HARVESTED,"71,897,000"
35,1985,YEAR,ACRES HARVESTED,"75,209,000"
36,1986,YEAR,ACRES HARVESTED,"68,907,000"
37,1987,YEAR,ACRES HARVESTED,"59,505,000"
38,1988,YEAR,ACRES HARVESTED,"58,250,000"
39,1989,YEAR,ACRES HARVESTED,"64,783,000"
40,1990,YEAR,ACRES HARVESTED,"66,952,000"
41,1991,YEAR,ACRES HARVESTED,"68,822,000"
42,1992,YEAR,ACRES HARVESTED,"72,077,000"
43,1993,YEAR,ACRES HARVESTED,"62,933,000"
44,1994,YEAR,ACRES HARVESTED,"72,514,000"
45,1995,YEAR,ACRES HARVESTED,"65,210,000"
46,1996,YEAR,ACRES HARVESTED,"72,644,000"
47,1997,YEAR,ACRES HARVESTED,"9,713,191"
48,1997,YEAR,ACRES HARVESTED,"7,304,070"
49,1997,YEAR,ACRES HARVESTED,"527,998"
50,1997,YEAR,ACRES HARVESTED,"16,284,005"
51,1997,YEAR,ACRES HARVESTED,"746,730"
52,1997,YEAR,ACRES HARVESTED,"1,472,237"
53,1997,YEAR,ACRES HARVESTED,"2,352,026"
54,1997,YEAR,ACRES HARVESTED,"19,130,322"
55,1997,YEAR,ACRES HARVESTED,"685,792"
56,1997,YEAR,ACRES HARVESTED,"251,092"
57,1997,YEAR,ACRES HARVESTED,"5,532,051"
58,1997,YEAR,ACRES HARVESTED,"16,802,131"
59,1997,YEAR,ACRES HARVESTED,"71,088,454"
60,1997,YEAR,ACRES HARVESTED,"72,671,000"
61,1998,YEAR,ACRES HARVESTED,"72,589,000"
62,1999,YEAR,ACRES HARVESTED,"70,487,000"
63,2000,YEAR,ACRES HARVESTED,"72,440,000"
64,2001,YEAR,ACRES HARVESTED,"68,768,000"
65,2002,YEAR,ACRES HARVESTED,"13,483,258"
66,2002,YEAR,ACRES HARVESTED,"9,622,218"
67,2002,YEAR,ACRES HARVESTED,"343,504"
68,2002,YEAR,ACRES HARVESTED,"13,012,959"
69,2002,YEAR,ACRES HARVESTED,"504,470"
70,2002,YEAR,ACRES HARVESTED,"2,233,269"
71,2002,YEAR,ACRES HARVESTED,"1,702,631"
72,2002,YEAR,ACRES HARVESTED,"16,826,251"
73,2002,YEAR,ACRES HARVESTED,"1,122,753"
74,2002,YEAR,ACRES HARVESTED,"505,018"
75,2002,YEAR,ACRES HARVESTED,"4,249,032"
76,2002,YEAR,ACRES HARVESTED,"18,108,418"
77,2002,YEAR,ACRES HARVESTED,"68,230,523"
78,2002,YEAR,ACRES HARVESTED,"69,330,000"
79,2003,YEAR,ACRES HARVESTED,"70,944,000"
80,2004,YEAR,ACRES HARVESTED,"73,631,000"
81,2005,YEAR,ACRES HARVESTED,"75,117,000"
82,2006,YEAR,ACRES HARVESTED,"70,638,000"
83,2007,YEAR,ACRES HARVESTED,"27,456,899"
84,2007,YEAR,ACRES HARVESTED,"16,873,615"
85,2007,YEAR,ACRES HARVESTED,"321,984"
86,2007,YEAR,ACRES HARVESTED,"12,420,682"
87,2007,YEAR,ACRES HARVESTED,"464,222"
88,2007,YEAR,ACRES HARVESTED,"5,421,247"
89,2007,YEAR,ACRES HARVESTED,"1,592,019"
90,2007,YEAR,ACRES HARVESTED,"17,773,739"
91,2007,YEAR,ACRES HARVESTED,"3,563,268"
92,2007,YEAR,ACRES HARVESTED,"1,598,769"
93,2007,YEAR,ACRES HARVESTED,"3,983,761"
94,2007,YEAR,ACRES HARVESTED,"22,235,236"
95,2007,YEAR,ACRES HARVESTED,"86,248,542"
96,2007,YEAR,ACRES HARVESTED,"86,520,000"
97,2008,YEAR,ACRES HARVESTED,"78,570,000"
98,2009,YEAR,ACRES HARVESTED,"79,490,000"
99,2010,YEAR,ACRES HARVESTED,"81,446,000"
100,2011,YEAR,ACRES HARVESTED,"83,879,000"
101,2012,YEAR,ACRES HARVESTED,"30,028,386"
102,2012,YEAR,ACRES HARVESTED,"17,976,608"
103,2012,YEAR,ACRES HARVESTED,"344,883"
